,EquipGrp,Grade,GradeT,DisplayStat,StatT,Chance,Duration,MinLvl,MaxLvl,StatValue
0,Hat,Rare,Non prime,STR,Flat,1.0,0,0,20,1
1,Hat,Rare,Non prime,STR,Flat,1.0,0,21,40,2
2,Hat,Rare,Non prime,STR,Flat,1.0,0,41,50,3
3,Hat,Rare,Non prime,STR,Flat,1.0,0,51,70,4
4,Hat,Rare,Non prime,STR,Flat,1.0,0,71,90,5
5,Hat,Rare,Non prime,STR,Flat,1.0,0,91,300,6
6,Hat,Rare,Non prime,DEX,Flat,1.0,0,0,20,1
7,Hat,Rare,Non prime,DEX,Flat,1.0,0,21,40,2
8,Hat,Rare,Non prime,DEX,Flat,1.0,0,41,50,3
9,Hat,Rare,Non prime,DEX,Flat,1.0,0,51,70,4
10,Hat,Rare,Non prime,DEX,Flat,1.0,0,71,90,5
11,Hat,Rare,Non prime,DEX,Flat,1.0,0,91,300,6
12,Hat,Rare,Non prime,INT,Flat,1.0,0,0,20,1
13,Hat,Rare,Non prime,INT,Flat,1.0,0,21,40,2
14,Hat,Rare,Non prime,INT,Flat,1.0,0,41,50,3
15,Hat,Rare,Non prime,INT,Flat,1.0,0,51,70,4
16,Hat,Rare,Non prime,INT,Flat,1.0,0,71,90,5
17,Hat,Rare,Non prime,INT,Flat,1.0,0,91,300,6
18,Hat,Rare,Non prime,LUK,Flat,1.0,0,0,20,1
19,Hat,Rare,Non prime,LUK,Flat,1.0,0,21,40,2
20,Hat,Rare,Non prime,LUK,Flat,1.0,0,41,50,3
21,Hat,Rare,Non prime,LUK,Flat,1.0,0,51,70,4
22,Hat,Rare,Non prime,LUK,Flat,1.0,0,71,90,5
23,Hat,Rare,Non prime,LUK,Flat,1.0,0,91,300,6
24,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,0,10,5
25,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,11,20,10
26,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,21,30,15
27,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,31,40,20
28,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,41,50,25
29,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,51,60,30
30,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,61,70,35
31,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,71,80,40
32,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,81,90,45
33,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,91,100,50
34,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,101,110,55
35,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,111,300,60
36,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,0,10,5
37,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,11,20,10
38,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,21,30,15
39,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,31,40,20
40,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,41,50,25
41,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,51,60,30
42,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,61,70,35
43,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,71,80,40
44,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,81,90,45
45,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,91,100,50
46,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,101,110,55
47,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,111,300,60
48,Hat,Rare,Non prime,DEF,Flat,1.0,0,0,10,5
49,Hat,Rare,Non prime,DEF,Flat,1.0,0,11,20,10
50,Hat,Rare,Non prime,DEF,Flat,1.0,0,21,30,15
51,Hat,Rare,Non prime,DEF,Flat,1.0,0,31,40,20
52,Hat,Rare,Non prime,DEF,Flat,1.0,0,41,50,25
53,Hat,Rare,Non prime,DEF,Flat,1.0,0,51,60,30
54,Hat,Rare,Non prime,DEF,Flat,1.0,0,61,70,35
55,Hat,Rare,Non prime,DEF,Flat,1.0,0,71,80,40
56,Hat,Rare,Non prime,DEF,Flat,1.0,0,81,90,45
57,Hat,Rare,Non prime,DEF,Flat,1.0,0,91,100,50
58,Hat,Rare,Non prime,DEF,Flat,1.0,0,101,110,55
59,Hat,Rare,Non prime,DEF,Flat,1.0,0,111,300,60
60,Hat,Rare,Non prime,10% chance to show rage for 10 seconds when being attacked,Perc,0.1,10, 0 ,300,
61,Hat,Rare,Non prime,10% chance to show happy for 10 seconds when being attacked,Perc,0.1,10, 0 ,300,
62,Hat,Rare,Non prime,10% chance to fall in love for 10 seconds when being attacked,Perc,0.1,10, 0 ,300,
