,ClassName,WeaponType
0,Hero,Medallion
1,Hero,Shield
2,Paladin,Rosary
3,Paladin,Shield
4,Dark Knight,Iron Chain
5,Bishop,Shield
6,Bishop,Magic Book
7,Ice Lightning,Shield
8,Ice Lightning,Magic Book
9,Fire Poision,Shield
10,Fire Poision,Magic Book
11,Dual Blade,Katara
12,Shadower,Dagger Scabbard
13,Shadower,Shield
14,Night Lord,Charm
15,Pathfinder,Relic
16,Marksman,Bow Thimble
17,Bowmaster,Arrow Fletching
18,Cannoneer,Powder Keg
19,Buccaneer,Wrist Band
20,Corsair,Far Sight
21,Dawn Warrior,Jewel
22,Dawn Warrior,Shield
23,Thunder Breaker,Jewel
24,Night Walker,Jewel
25,Wind Archer,Jewel
26,Blaze Wizard,Jewel
27,Mihile,Soul Shield
28,Mercedes,Magic Arrow
29,Aran,Mass
30,Phantom,Card
31,Luminous,Orb
32,Evan,Shield
33,Evan,Document
34,Shade,Fox Marble
35,Battle Mage,Shield
36,Battle Mage,Magic Marble
37,Blaster,Charge
38,Mechanic,Magnum
39,Wild Hunter,Arrowhead
40,Xenon,Core Controller
41,Demon Slayer,Demon Aegis
42,Demon Avenger,Demon Aegis
43,Angelic Buster,Soul Ring
44,Kaiser,Dragon Essence
45,Cadena,Warp Forge
46,Kain,Weapon Belt
47,Kanna,Haku Fan
48,Hayato,Kodachi
49,Adele,Bladebinder
50,Ark,Abyssal Path
51,Illium,Lucent Wings
52,Hoyoung,Fan Tassel
53,Lara,Ornament
54,Kinesis,Chess Piece
55,Zero,Heavy Sword
