,ClassName,WeaponType,EquipName,EquipLevel,STR,DEX,INT,LUK,AllStat,HP,MP,DEF,ATK,MATK,AtkSpd
0,Ark,Abyssal Path,Initial Path,10,3,3,0,0,0,0,0,0,0,0,0
1,Ark,Abyssal Path,Secondary Path,30,4,4,0,0,0,0,0,0,1,0,0
2,Ark,Abyssal Path,Advanced Path,60,6,6,0,0,0,0,0,0,2,0,0
3,Ark,Abyssal Path,Ultimate Path,100,10,10,0,0,0,0,0,0,3,0,0
4,Ark,Abyssal Path,Onyx Maple Path,100,8,8,0,0,0,0,0,0,5,0,0
5,Ark,Abyssal Path,Princess No Path,140,14,14,0,0,0,0,0,0,9,0,0
6,Bowmaster,Arrow Fletching,Breezy Feather,30,4,4,0,0,0,0,0,0,1,0,0
7,Bowmaster,Arrow Fletching,Gusty Feather,60,6,6,0,0,0,0,0,0,2,0,0
8,Bowmaster,Arrow Fletching,Blasted Feather,100,10,10,0,0,0,0,0,0,3,0,0
9,Bowmaster,Arrow Fletching,Onyx Maple Feather,100,8,8,0,0,0,0,0,0,5,0,0
10,Bowmaster,Arrow Fletching,Maple Treasure Feather,110,9,9,0,0,0,0,0,0,6,0,0
11,Bowmaster,Arrow Fletching,Princess No's Feather,140,14,14,0,0,0,0,0,0,9,0,0
12,Wild Hunters,Arrowhead,Wild Beak,30,4,4,0,0,0,0,0,0,1,0,0
13,Wild Hunters,Arrowhead,Wild Crow,60,6,6,0,0,0,0,0,0,2,0,0
14,Wild Hunters,Arrowhead,Wild Heron,100,10,10,0,0,0,0,0,0,3,0,0
15,Wild Hunters,Arrowhead,Onyx Maple Wild Heron,100,8,8,0,0,0,0,0,0,5,0,0
16,Wild Hunters,Arrowhead,Maple Treasure Wild Beak,110,9,9,0,0,0,0,0,0,6,0,0
17,Wild Hunters,Arrowhead,Princess No's Arrowhead,140,14,14,0,0,0,0,0,0,9,0,0
18,Adele,Bladebinder,Trace Bladebinder,10,3,3,0,0,0,0,0,0,0,0,0
19,Adele,Bladebinder,Embark Bladebinder,30,4,4,0,0,0,0,0,0,1,0,0
20,Adele,Bladebinder,Regular Bladebinder,60,6,6,0,0,0,0,0,0,2,0,0
21,Adele,Bladebinder,Noble Bladebinder,100,10,10,0,0,0,0,0,0,3,0,0
22,Adele,Bladebinder,Princess No's Immortal Bladebinder,140,14,14,0,0,0,0,0,0,9,0,0
23,Marksman,Bow Thimble,One Shot,30,4,4,0,0,0,0,0,0,1,0,0
24,Marksman,Bow Thimble,Sure Shot,60,6,6,0,0,0,0,0,0,2,0,0
25,Marksman,Bow Thimble,True Shot,100,10,10,0,0,0,0,0,0,3,0,0
26,Marksman,Bow Thimble,Onyx Maple True Shot,100,8,8,0,0,0,0,0,0,5,0,0
27,Marksman,Bow Thimble,Maple Treasure True Shot,110,9,9,0,0,0,0,0,0,6,0,0
28,Marksman,Bow Thimble,Princess No's Wreath,140,14,14,0,0,0,0,0,0,9,0,0
29,Phantom,Card,Carte Magique,10,0,0,0,0,0,0,0,0,0,0,0
30,Phantom,Card,Carte Fantasmatique,30,0,0,0,0,0,0,0,0,0,0,0
31,Phantom,Card,Carte Magnifique,60,0,0,0,0,0,0,0,0,0,0,0
32,Phantom,Card,Carte Finale,100,0,0,0,0,0,0,0,0,0,0,0
33,Phantom,Card,Carte Onyx Maple,100,0,8,0,8,0,0,0,0,0,0,0
34,Phantom,Card,Maple Treasure Carte,110,0,9,0,9,0,0,0,0,0,0,0
35,Phantom,Card,Princess No's Carte,140,0,14,0,14,0,0,0,0,0,0,0
36,Blaster,Charge,Rudimentary Charges,10,3,3,0,0,0,0,0,0,0,0,0
37,Blaster,Charge,Standard Charges,30,4,4,0,0,0,0,0,0,1,0,0
38,Blaster,Charge,High Powered Charges,60,6,6,0,0,0,0,0,0,2,0,0
39,Blaster,Charge,Masterwork Charges,100,10,10,0,0,0,0,0,0,3,0,0
40,Blaster,Charge,Onyx Maple Charges,100,8,8,0,0,0,0,0,0,5,0,0
41,Blaster,Charge,Princess No's Megaton Charges,140,15,15,0,0,0,0,0,0,10,0,0
42,Night Lord,Charm,All Souls Charm,30,0,4,0,4,0,0,0,0,1,0,0
43,Night Lord,Charm,Evil Ender Charm,60,0,6,0,6,0,0,0,0,2,0,0
44,Night Lord,Charm,Death Sender Charm,100,0,10,0,,0,0,0,0,3,0,0
45,Night Lord,Charm,Onyx Maple Death Sender Charm,100,0,8,0,8,0,0,0,0,5,0,0
