,ClassType,WeaponType,EquipName,EquipLevel,MainStat,SecStat,Atk,MAtk,AS,DEF,HP,MP,AtkSpd
0,Ark,AbyssalPath,Initial Path,10,3,3,0,0,0,0,0,0,0
1,Ark,AbyssalPath,Secondary Path,30,4,4,1,0,0,0,0,0,0
2,Ark,AbyssalPath,Advanced Path,60,6,6,2,0,0,0,0,0,0
3,Ark,AbyssalPath,Ultimate Path,100,10,10,3,0,0,0,0,0,0
4,Ark,AbyssalPath,Onyx Maple Path,100,8,8,5,0,0,0,0,0,0
5,Ark,AbyssalPath,Princess No Path,140,14,14,9,0,0,0,0,0,0
6,Bowmaster,ArrowFletching,Breezy Feather,30,4,4,1,0,0,0,0,0,0
7,Bowmaster,ArrowFletching,Gusty Feather,60,6,6,2,0,0,0,0,0,0
8,Bowmaster,ArrowFletching,Blasted Feather,100,10,10,3,0,0,0,0,0,0
9,Bowmaster,ArrowFletching,Onyx Maple Feather,100,8,8,5,0,0,0,0,0,0
10,Bowmaster,ArrowFletching,Maple Treasure Feather,110,9,9,6,0,0,0,0,0,0
11,Bowmaster,ArrowFletching,Princess No's Feather,140,14,14,9,0,0,0,0,0,0
12,WildHunters,Arrowhead,Wild Beak,30,4,4,1,0,0,0,0,0,0
13,WildHunters,Arrowhead,Wild Crow,60,6,6,2,0,0,0,0,0,0
14,WildHunters,Arrowhead,Wild Heron,100,10,10,3,0,0,0,0,0,0
15,WildHunters,Arrowhead,Onyx Maple Wild Heron,100,8,8,5,0,0,0,0,0,0
16,WildHunters,Arrowhead,Maple Treasure Wild Beak,110,9,9,6,0,0,0,0,0,0
17,WildHunters,Arrowhead,Princess No's Arrowhead,140,14,14,9,0,0,0,0,0,0
18,Adele,Bladebinder,Trace Bladebinder,10,3,3,0,0,0,0,0,0,0
19,Adele,Bladebinder,Embark Bladebinder,30,4,4,1,0,0,0,0,0,0
20,Adele,Bladebinder,Regular Bladebinder,60,6,6,2,0,0,0,0,0,0
21,Adele,Bladebinder,Noble Bladebinder,100,10,10,3,0,0,0,0,0,0
22,Adele,Bladebinder,Princess No's Immortal Bladebinder,140,14,14,9,0,0,0,0,0,0
23,Marksman,BowThimble,One Shot,30,4,4,1,0,0,0,0,0,0
24,Marksman,BowThimble,Sure Shot,60,6,6,2,0,0,0,0,0,0
25,Marksman,BowThimble,True Shot,100,10,10,3,0,0,0,0,0,0
26,Marksman,BowThimble,Onyx Maple True Shot,100,8,8,5,0,0,0,0,0,0
27,Marksman,BowThimble,Maple Treasure True Shot,110,9,9,6,0,0,0,0,0,0
28,Marksman,BowThimble,Princess No's Wreath,140,14,14,9,0,0,0,0,0,0
29,Phantom,Card,Carte Magique,10,0,0,0,0,0,0,0,0,0
30,Phantom,Card,Carte Fantasmatique,30,0,0,0,0,0,0,0,0,0
31,Phantom,Card,Carte Magnifique,60,0,0,0,0,0,0,0,0,0
32,Phantom,Card,Carte Finale,100,0,0,0,0,0,0,0,0,0
33,Phantom,Card,Carte Onyx Maple,100,8,8,0,0,0,0,0,0,0
34,Phantom,Card,Maple Treasure Carte,110,9,9,0,0,0,0,0,0,0
35,Phantom,Card,Princess No's Carte,140,14,14,0,0,0,0,0,0,0
36,Blaster,Charge,Rudimentary Charges,10,3,3,0,0,0,0,0,0,0
37,Blaster,Charge,Standard Charges,30,4,4,1,0,0,0,0,0,0
38,Blaster,Charge,High Powered Charges,60,6,6,2,0,0,0,0,0,0
39,Blaster,Charge,Masterwork Charges,100,10,10,3,0,0,0,0,0,0
40,Blaster,Charge,Onyx Maple Charges,100,8,8,5,0,0,0,0,0,0
41,Blaster,Charge,Princess No's Megaton Charges,140,15,15,10,0,0,0,0,0,0
42,NightLord,Charm,All Souls Charm,30,4,4,1,0,0,0,0,0,0
43,NightLord,Charm,Evil Ender Charm,60,6,6,2,0,0,0,0,0,0
44,NightLord,Charm,Death Sender Charm,100,10,10,3,0,0,0,0,0,0
