,EquipGrp,Grade,GradeT,DisplayStat,StatT,Chance,Duration,MinLvl,MaxLvl,StatValue
0,Hat,Rare,Non prime,STR,Flat,1.0,0,0,20,1
1,Hat,Rare,Non prime,STR,Flat,1.0,0,21,40,2
2,Hat,Rare,Non prime,STR,Flat,1.0,0,41,50,3
3,Hat,Rare,Non prime,STR,Flat,1.0,0,51,70,4
4,Hat,Rare,Non prime,STR,Flat,1.0,0,71,90,5
5,Hat,Rare,Non prime,STR,Flat,1.0,0,91,300,6
6,Hat,Rare,Non prime,DEX,Flat,1.0,0,0,20,1
7,Hat,Rare,Non prime,DEX,Flat,1.0,0,21,40,2
8,Hat,Rare,Non prime,DEX,Flat,1.0,0,41,50,3
9,Hat,Rare,Non prime,DEX,Flat,1.0,0,51,70,4
10,Hat,Rare,Non prime,DEX,Flat,1.0,0,71,90,5
11,Hat,Rare,Non prime,DEX,Flat,1.0,0,91,300,6
12,Hat,Rare,Non prime,INT,Flat,1.0,0,0,20,1
13,Hat,Rare,Non prime,INT,Flat,1.0,0,21,40,2
14,Hat,Rare,Non prime,INT,Flat,1.0,0,41,50,3
15,Hat,Rare,Non prime,INT,Flat,1.0,0,51,70,4
16,Hat,Rare,Non prime,INT,Flat,1.0,0,71,90,5
17,Hat,Rare,Non prime,INT,Flat,1.0,0,91,300,6
18,Hat,Rare,Non prime,LUK,Flat,1.0,0,0,20,1
19,Hat,Rare,Non prime,LUK,Flat,1.0,0,21,40,2
20,Hat,Rare,Non prime,LUK,Flat,1.0,0,41,50,3
21,Hat,Rare,Non prime,LUK,Flat,1.0,0,51,70,4
22,Hat,Rare,Non prime,LUK,Flat,1.0,0,71,90,5
23,Hat,Rare,Non prime,LUK,Flat,1.0,0,91,300,6
24,Hat,Rare,Non prime,Weapon ATT,Flat,1.0,0,0,50,1
25,Hat,Rare,Non prime,Weapon ATT,Flat,1.0,0,51,100,2
26,Hat,Rare,Non prime,Weapon ATT,Flat,1.0,0,101,300,3
27,Hat,Rare,Non prime,Magic ATT,Flat,1.0,0,0,50,1
28,Hat,Rare,Non prime,Magic ATT,Flat,1.0,0,51,100,2
29,Hat,Rare,Non prime,Magic ATT,Flat,1.0,0,101,300,3
30,Hat,Rare,Non prime,Speed,Flat,1.0,0,0,30,1
31,Hat,Rare,Non prime,Speed,Flat,1.0,0,31,70,2
32,Hat,Rare,Non prime,Speed,Flat,1.0,0,71,110,3
33,Hat,Rare,Non prime,Speed,Flat,1.0,0,111,300,4
34,Hat,Rare,Non prime,Jump,Flat,1.0,0,0,30,1
35,Hat,Rare,Non prime,Jump,Flat,1.0,0,31,70,2
36,Hat,Rare,Non prime,Jump,Flat,1.0,0,71,110,3
37,Hat,Rare,Non prime,Jump,Flat,1.0,0,111,300,4
38,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,0,10,5
39,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,11,20,10
40,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,21,30,15
41,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,31,40,20
42,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,41,50,25
43,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,51,60,30
44,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,61,70,35
45,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,71,80,40
46,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,81,90,45
47,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,91,100,50
48,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,101,110,55
49,Hat,Rare,Non prime,MaxHP,Flat,1.0,0,111,300,60
50,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,0,10,5
51,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,11,20,10
52,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,21,30,15
53,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,31,40,20
54,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,41,50,25
55,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,51,60,30
56,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,61,70,35
57,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,71,80,40
58,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,81,90,45
59,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,91,100,50
60,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,101,110,55
61,Hat,Rare,Non prime,MaxMP,Flat,1.0,0,111,300,60
62,Hat,Rare,Non prime,DEF,Flat,1.0,0,0,10,5
63,Hat,Rare,Non prime,DEF,Flat,1.0,0,11,20,10
